date,오이도,정왕,신길온천,안산,초지,고잔,중앙,한대앞,상록수,반월,대야미,수리산,산본,금정,범계,평촌,인덕원,정부과천청사,과천,대공원,경마공원,선바위,남태령,사당,총신대입구,동작,이촌,신용산,삼각지,숙대입구,서울역,회현,명동,충무로,동대문역사문화공원,동대문,혜화,한성대입구,성신여대입구,길음,미아사거리,미아,수유,쌍문,창동,노원,상계,당고개
2019-02-11,20250,16564,3402,28492,6825,18287,37301,17471,41238,9642,9222,8550,40993,58533,62087,40469,56619,28356,10194,4345,1922,18432,2804,56566,49805,4967,18677,37992,11845,32752,39413,69822,78108,70613,43419,56637,78266,32157,48828,47764,63187,35417,82418,69048,64138,50650,43905,26346
2019-02-12,20767,16406,3443,28269,7110,18503,37932,18108,41495,9734,9324,8634,41359,59390,63794,40697,58319,25949,10755,6849,2191,18605,3317,59134,50843,5358,20971,38162,12453,33997,39890,70910,79004,72411,44674,56976,84614,33233,49548,48594,64212,36049,82826,69623,65637,51230,44829,26773
2019-02-13,20943,16779,3431,27964,7005,18616,38498,17575,41938,9682,9392,8597,42329,59750,65323,41088,58688,32624,10875,5973,5459,18754,2703,59570,51055,4964,22122,38868,12417,33529,40031,71277,79257,71829,45660,56895,88587,32951,50691,49096,65048,38191,84287,70629,66359,52633,44446,26760
2019-02-14,21377,16703,3522,28395,7227,18493,39701,17921,43745,9724,9269,8632,43029,59809,66784,41813,59132,27231,10806,6343,5296,19488,2886,60655,51132,5236,21182,39377,12241,34058,42072,71850,79604,72761,47091,57082,91311,32788,51863,50268,64994,36933,84780,70311,66445,52960,44419,26882
2019-02-15,22545,19356,3559,29478,8364,19367,41499,18685,44897,9908,9688,8697,44356,61957,69368,43026,63231,28092,11232,4942,17968,19975,3204,65526,53640,5058,21378,42601,13091,34422,45110,70122,79212,73682,47084,56626,90057,34246,53232,50991,67521,37584,88052,71165,68638,54949,45220,27661
2019-02-16,19603,15149,3122,27649,6018,16129,39337,15076,36681,8545,7633,6478,35202,46806,57172,25365,42029,17278,8861,9872,29248,13191,2808,56544,41273,3966,21585,26373,8939,24700,33657,61464,81119,42791,39819,46152,90581,27462,43955,37288,55124,29112,69608,53845,53455,46071,34330,23301
2019-02-17,14380,12794,2295,27567,4023,11359,28569,10703,27384,6484,5813,5007,24693,36060,39770,16011,30672,18900,6753,8475,37439,9254,1773,39537,29083,3010,16935,19092,6448,20422,24704,28688,65128,26378,31939,24039,67141,20573,31812,26275,39531,21349,50980,39540,40207,34407,25527,18820
2019-02-18,20444,16724,3463,29151,7224,18414,38003,17837,41385,9716,9440,8715,40899,59397,62455,40455,56921,26135,10259,5316,2079,18504,2928,56800,50510,5269,19687,38676,11685,32265,40762,69207,76204,74813,43692,55503,78795,31919,48523,47943,61984,34950,82426,69134,64104,50198,44034,26580
2019-02-19,20674,16923,3344,28612,7208,18812,38512,17886,41969,9544,9345,8588,41528,59501,64105,42431,59653,26324,10976,4707,2078,18688,2861,57536,49056,5043,21093,39952,12193,32507,41572,64684,73668,73272,43039,52824,85418,32044,48281,48473,61343,34266,82128,69072,63996,49992,44259,26761
2019-02-20,21339,16750,3448,28601,9853,18774,39125,19111,42928,9900,9620,8847,42720,60287,64615,42115,58855,32424,10941,6603,4679,19208,2891,60324,51220,5194,22843,39342,12889,34912,41593,70834,76646,71885,45672,56644,88367,34164,50616,51159,63738,35946,84524,70834,66230,52399,45002,27154
