date,신도림,대림,구로디지털단지,신대방,신림,봉천,서울대입구,낙성대,사당,방배,서초,교대,강남,역삼,선릉,삼성,종합운동장,잠실새내,잠실,잠실나루,강변,구의,건대입구,성수,뚝섬,한양대,왕십리,상왕십리,신당,동대문역사문화공원,을지로4가,을지로3가,을지로입구,시청,충정로,아현,이대,신촌,홍대입구,합정,당산,영등포구청,문래
2019-02-09,108192,47057,88897,44961,124592,38333,91201,47399,81877,24900,25059,48511,188874,49334,55937,86836,27334,45524,168942,19731,90462,36597,96540,32651,22922,10251,31257,21435,26157,50081,20767,26575,75447,25077,14286,16937,33379,100406,215763,66777,33364,27066,25373
2019-02-10,76208,41228,64240,36287,94247,27945,66174,35542,56329,17845,30430,29296,108336,30784,27650,66213,16722,29833,120140,13885,69884,26063,70795,20329,14680,6092,22501,15176,19252,36625,8400,21091,57745,15705,9180,12098,23590,68272,158126,47383,23479,17117,16080
2019-02-11,123106,63380,148623,60785,150619,54223,114295,63755,95187,43339,51754,92263,241625,132367,130670,131093,19436,54970,176748,38432,94165,54232,91707,70901,41152,18238,37676,31383,32790,38381,28195,54215,110582,60319,26756,22669,39144,96725,160246,71378,51062,53704,49059
2019-02-12,125291,64199,150723,62338,153612,53980,118363,66595,100700,44316,53134,95680,247257,134353,131726,135174,21028,56158,186349,39810,92456,55583,94182,72871,43412,18689,38732,32325,33804,39936,29158,54888,113803,61350,27012,23008,40044,99193,165766,74305,52915,54583,49681
2019-02-13,126312,63468,151387,62007,154328,54011,115727,66243,101071,43662,52927,94140,247975,134850,132473,137883,21807,56939,188349,39908,93265,55356,96011,73743,43715,18387,39277,32779,33851,40056,28759,56283,115465,62286,27544,22826,41358,99945,173814,75101,52040,54188,49769
2019-02-14,128766,63565,151504,62271,156758,54351,117124,66550,103367,43853,53814,94348,249831,134906,130983,148394,18881,57247,188669,39184,95707,55552,99607,74457,43616,18768,39950,33186,34309,41710,28914,55516,116636,61579,27536,22790,40980,104520,176608,78180,54238,54116,49771
2019-02-15,134031,64874,155943,63010,162970,54485,122289,67637,109741,51564,54277,96745,265482,135241,132445,148817,21166,60612,193040,39845,105276,57713,104713,77828,44850,18975,41803,33006,34384,41767,28203,57763,118424,62904,28491,23153,41892,110328,188254,83699,54306,56054,50547
2019-02-16,127070,52651,96656,49313,135208,41931,96204,52925,93871,29500,33192,53991,205769,55699,65992,100435,15500,47927,180625,22220,104798,40287,113192,37399,28431,13027,36996,22500,28648,39021,22125,28596,78171,28887,16229,18194,35028,104389,219754,74327,39330,29938,29230
2019-02-17,82697,44769,69034,38506,99860,30474,71219,40729,62392,19171,33212,31213,115556,30767,33639,73435,20796,31605,134047,15744,80247,27905,77372,24254,17019,6939,25032,16051,21270,30027,9330,21017,57147,15320,10472,12920,24231,72397,162482,51293,25267,19183,17768
2019-02-18,123881,65213,148784,62277,151757,53479,113311,63639,96559,43606,52524,92707,240190,131037,130082,130421,18894,55240,182911,39603,96529,54911,93067,73747,42354,18090,36659,31800,33249,38175,27900,53578,110197,58888,26419,22562,38939,98271,166013,73887,51455,53481,49338
2019-02-19,124526,63657,149351,61087,152006,53006,113089,64809,97745,46163,54120,94798,238998,131279,130457,137353,22962,55924,178208,40842,90209,55554,90809,74347,43613,18522,37559,32244,33418,37347,26663,53513,110984,61391,27128,21674,38403,100244,157891,73330,52199,54202,49496
2019-02-20,129558,64474,150855,62966,155460,53897,115924,64816,101647,45873,54590,95116,244994,132184,131839,137093,19939,55647,190186,39749,94983,56450,96496,74378,44322,20031,39581,32790,33669,39867,28274,55431,114303,62214,27120,22678,40437,102840,167330,75593,52740,54345,49715
2019-02-21,130681,64242,151045,62481,156159,54671,116413,65397,103818,46248,54278,95789,246828,132127,132034,145414,19307,56424,192218,39665,98435,56694,99167,74648,45137,25735,40980,33467,34168,41467,29478,55499,116018,60950,27128,22853,41357,102279,170486,77996,53389,55114,50001
2019-02-22,134922,65621,154871,63715,162064,54714,121097,66791,110949,44750,53829,98113,261456,131333,131342,149208,20134,60085,197611,41126,108163,58165,115471,75402,45464,22865,42758,33618,34883,43309,29312,56249,120806,62393,27449,23950,45001,110365,196932,85255,55785,54694,51007
2019-02-23,128031,53884,96797,50314,136936,42654,98635,56665,93472,29262,33986,54136,200286,54816,65453,100179,24030,47404,183885,22414,108123,40940,105569,42235,27703,14700,36610,22899,29276,40839,22899,29585,80949,31137,17368,18055,35610,101857,217877,75033,40055,30776,30241
2019-02-24,88561,46680,70435,40181,102947,30976,73453,40430,64378,20141,34469,33181,116764,31697,33155,74775,13190,32177,138546,16729,81911,28870,79216,24380,20492,11704,26045,16629,21374,31471,10241,21760,59091,15936,11504,13335,26431,74057,165440,53170,27255,19149,18612
2019-02-25,125827,65395,149705,62322,153117,54207,116075,64916,97253,44100,52012,92555,236819,130991,130129,131068,20536,55218,185081,39697,97928,55442,95056,73131,43160,18783,38786,32118,33393,39271,28796,53560,113082,59763,26368,23309,48485,108006,168073,72507,52558,54136,49529
2019-02-26,124676,66145,151648,63064,155515,54583,123611,68288,102584,45187,53602,95086,244436,133645,132789,134412,22054,56262,199285,41446,95611,56088,99824,75838,45011,22759,39996,32417,34793,40949,29378,54667,115687,61939,28214,22731,41005,100974,170810,76069,53615,55451,49964
2019-02-27,133571,66214,152841,63495,158053,53946,118139,67263,102829,44633,56313,96074,243865,132384,132212,136567,22121,55995,197000,39884,99301,56077,97589,74617,45361,18367,39367,32014,34570,42610,28813,56200,114855,62045,27461,22692,41426,102003,172625,76919,53721,53936,50358
2019-02-28,133316,66363,154152,63212,161416,54689,121169,65546,107226,45458,53516,96538,254030,130771,132954,141259,21699,59478,202201,38801,112588,57349,104988,75172,45094,21889,41358,32510,36396,45478,29162,55796,119162,62404,27760,23646,41284,110780,189147,83534,54655,55847,50256
2019-03-01,97739,45823,80466,43175,113490,34417,82290,43293,69679,20370,18244,38694,140989,37224,44256,80768,19976,39305,167902,18583,91788,33644,94204,33038,23698,10986,30090,19933,26052,44362,20761,27569,88588,45468,15763,16118,33124,88333,203273,62407,30633,23976,21689
