date,개화,김포공항,공항시장,신방화,마곡나루,양천향교,가양,증미,등촌,염창,신목동,선유도,당산,국회의사당,여의도,샛강,노량진,노들,흑석,동작,구반포,신반포,고속터미널,사평,신논현,언주,선정릉,삼성중앙,봉은사,종합운동장,삼전,석촌고분,석촌,송파나루,한성백제,올림픽공원,둔촌오륜,중앙보훈병원
2019-02-04,3883,14543,2911,5610,5569,5215,15964,5207,7519,11779,2458,3107,11276,3411,6749,2155,31127,3249,6221,2148,1846,1796,19751,1944,20202,3712,3112,2160,11663,2510,3684,3104,3391,2459,1204,2860,419,3380
2019-02-05,4053,14940,2808,5548,6420,6614,16507,4321,6799,12315,2538,3054,10967,2893,6338,1869,24545,3225,6868,4636,1367,1383,16935,1733,15465,3216,3064,2062,12382,2660,3731,3294,3606,2319,1285,2785,443,4123
2019-02-06,4858,18948,3364,6961,8689,8401,19235,5752,8813,15332,3206,3976,15355,6270,9843,2921,33971,4032,8093,2840,2249,2299,26028,2565,28319,4786,4659,3189,14094,3760,5050,4433,4920,3365,1705,5097,825,4849
2019-02-07,11498,20546,6451,15384,18495,17796,41450,15080,21873,34124,7829,14274,37775,31724,44844,11471,58785,8842,17764,3211,6852,6259,31692,6478,67980,18973,17576,12361,32032,8522,9822,8598,9573,6581,3306,8603,1356,13036
2019-02-08,12050,22295,6750,16085,20090,18912,43654,15608,22838,35768,8107,15742,40860,40813,50125,11985,63717,9146,19288,3196,6975,6259,34794,6884,79083,20707,19432,13344,35468,10544,10316,9178,10344,7189,3478,9443,1717,13650
2019-02-09,6940,20573,5139,10794,15029,13462,30229,9050,14642,23299,4508,7400,27216,10628,17084,5657,56397,6543,14298,2607,5799,4188,36015,4254,60260,11057,9932,5897,24479,8397,8116,7090,7755,6457,2745,9589,1090,6939
2019-02-10,5049,18990,4106,8335,10009,9558,22649,5585,10073,17633,3413,5423,19613,10672,12276,4346,38851,5602,10285,2368,3085,3794,28576,3057,35312,6825,6554,4147,19035,4763,5847,5240,5749,4571,2221,9765,1229,5566
2019-02-11,13007,22355,6748,15965,20232,18828,45419,16925,24052,37017,8396,16604,41143,38212,51711,12651,62084,9512,19972,3428,7169,6543,32827,6850,73205,21347,20308,13920,35415,9634,10445,9217,10609,7121,3654,8569,1832,15051
2019-02-12,12882,22329,6779,16230,21283,19774,46466,16528,24430,37467,8613,16585,42834,40028,52738,12796,62982,9714,20307,3570,7515,6668,33710,6939,74708,21666,20310,14371,35553,9608,10492,9341,10708,7206,3698,9336,1843,14276
2019-02-13,12978,23336,6783,15963,21405,19606,46229,16961,24230,37845,8489,16845,42243,42227,54037,12387,62843,9928,20165,3535,7408,6897,34872,7109,75550,21915,20636,14359,36473,9915,10762,9667,10680,7576,3808,9271,2014,15011
2019-02-14,13062,23202,6839,16103,21554,19690,46582,16572,23815,37976,8715,16575,43194,40135,54013,13174,63513,9711,20310,3440,7315,7420,36396,7272,77120,21922,20945,14548,38734,9714,10761,9798,11111,7876,3891,9704,1848,14627
2019-02-15,15722,25264,7357,17219,22833,21024,49658,18646,26487,40059,9407,18646,45723,44296,55997,13405,68537,10101,21177,3555,7681,7426,39757,8014,84339,23097,21477,14702,41410,10370,11477,10351,11397,7928,4172,10185,2348,14326
2019-02-16,8443,22521,5567,12162,16355,14168,35102,10003,15740,26354,5455,8129,31862,15105,21548,6362,59976,7151,15516,2906,7551,4898,40954,4711,67022,14032,12279,7362,31009,7706,8685,7660,8837,6900,3144,13126,1125,7527
2019-02-17,5752,19790,4375,8945,11622,10655,27115,7116,11059,19463,3726,5790,21005,11560,13630,4152,41417,5750,11075,2446,3348,4164,31394,3327,38213,7738,7253,4543,20801,5345,6433,5852,6358,5025,2415,12817,1284,6633
2019-02-18,13407,22250,7017,15834,20918,18855,46476,16717,23980,37015,8696,16692,41748,38180,52374,12958,63023,9631,21431,3584,7195,6527,33914,7079,73268,21241,20439,14325,35293,9595,10694,9429,10824,7286,3790,9064,1777,14622
2019-02-19,13544,22995,6926,16244,22018,20643,48329,17425,24375,37756,9290,17217,42924,42106,54373,12954,62614,9626,22044,3380,7626,6675,32885,7523,74115,21867,20693,14490,37992,10487,11078,9796,10927,7703,4103,9835,1694,15373
2019-02-20,13342,23167,7119,16218,21646,20304,46733,16717,23866,38091,9009,16809,42685,41350,53854,12619,63768,9817,21605,3635,7408,6714,34959,7043,74942,21436,20855,14344,37141,9904,11095,9689,11089,7750,4154,14031,1704,15254
2019-02-21,13191,23369,6971,16435,21498,20223,46488,16837,24253,37738,8792,16325,43846,39877,54197,12902,64518,9805,22114,3676,7300,7288,36088,7266,76450,21518,20899,14513,39761,9877,11027,9591,11182,7735,4064,11002,1551,15212
2019-02-22,13527,24537,7112,16371,22858,20659,47586,16956,24611,38806,8993,16852,44820,43128,55124,13205,68755,9825,22035,3893,7548,6836,40737,7389,84615,22079,21732,14363,41935,10294,11283,10134,11773,8019,4087,11505,1631,14497
2019-02-23,8878,21997,5486,11802,17862,14541,35964,10035,16341,27781,5467,7863,31235,14052,21577,6610,62158,7209,16800,2960,7390,5150,43388,4880,66337,14957,12516,7300,32300,8503,8862,7683,9212,6790,3262,17871,1281,7822
2019-02-24,6086,19632,4533,8902,12992,10748,28000,6257,11721,19657,4096,6188,22555,13407,15061,4317,45637,6117,12203,2483,4368,4294,33631,3362,39253,8004,7793,4511,23531,4965,6737,5895,6780,5131,2595,9271,1302,5784
