date,대화,주엽,정발산,마두,백석,대곡,화정,원당,원흥,삼송,지축,구파발,연신내,불광,녹번,홍제,무악재,독립문,경복궁,안국,종로3가,을지로3가,동대입구,약수,금호,옥수,압구정,신사,잠원,고속터미널,교대,남부터미널,양재,매봉,도곡,대치,학여울,대청,일원,수서,가락시장,경찰병원,오금
2019-02-22,35099,23639,21166,20846,26903,3523,44144,26673,18948,36225,2752,45153,93361,46106,30021,43138,9203,18571,55911,55878,32049,27897,25801,33568,19749,23844,86744,86642,14797,145048,31777,91202,106198,27802,13654,30180,6569,22660,23543,44480,24048,18878,15264
2019-02-23,27404,17444,18642,14689,22376,2818,36252,21270,13498,29930,2143,36100,76511,38741,22229,35484,6951,19549,47540,46938,26010,16131,22528,25402,14356,18133,67048,71550,10306,159369,15481,71926,67851,14093,9943,23458,7244,14295,12212,33686,17076,10482,9536
2019-02-24,21343,12083,15583,10284,16452,2026,29539,16068,10087,22791,1518,27803,57016,29856,15241,24791,5047,15495,31621,29830,15490,9323,15822,17528,10910,13167,37317,41378,6721,124684,9832,50297,42518,9509,5001,15147,5008,10652,9420,24943,10282,7309,7988
2019-02-25,29304,22946,18417,19803,25819,3344,43576,25965,17979,34814,2670,43142,89454,42856,29250,41936,8860,16673,49555,52759,29973,26633,21866,32100,18740,21939,81153,77206,14365,121988,29774,78360,97444,27289,13255,28216,4145,21842,23202,40511,22696,18752,14630
2019-02-26,29058,23246,19021,19499,26056,3421,44966,26218,18524,36054,2882,44192,90741,44775,30231,42187,9291,19660,50276,54494,30456,26925,22695,32532,19171,23639,83446,79957,14535,123135,30034,83071,101156,27495,13489,29315,4207,22120,23997,40569,22653,18521,15056
2019-02-27,32044,23311,20704,20518,26265,3415,46370,26293,18480,36111,2865,45186,91540,43965,30108,43328,9362,20829,54671,55859,30988,27673,26669,31742,19039,23329,84157,79356,14639,123756,30615,83966,101672,27668,13401,28886,4615,22120,23300,40858,22942,18425,14899
2019-02-28,31534,24126,20101,20981,27792,3543,45825,26927,18491,36022,2882,45606,94386,45371,31574,44508,9968,24326,64610,60213,32318,28500,22430,33060,19145,23752,85494,85975,14704,147882,30795,92053,105213,27866,13503,29770,4614,23047,23122,42733,23314,18765,15075
2019-03-01,21312,15366,17565,12692,19778,2617,32465,18641,11766,28288,2116,32698,67106,34026,19968,31591,6594,62234,70104,55811,24655,14537,26347,19911,12420,15321,43886,50441,8183,147481,10966,57562,43652,10739,6538,16554,7161,11419,9091,27297,13794,8445,7880
2019-03-02,20795,15481,17064,12721,19106,2452,32951,18515,12267,27369,2070,31703,68613,34196,19657,30746,6150,23315,38406,40203,22388,13170,20678,21357,12908,16108,56072,60421,9042,142614,12547,62024,49875,12256,7749,20632,5843,12347,10105,28531,13880,8791,8994
2019-03-03,16666,11156,13603,9399,15375,2015,27908,15024,9509,21410,1495,26667,54430,27543,14236,23593,4599,14856,25716,24936,12822,8550,13285,16993,10226,12324,33867,35810,6246,122048,9012,46267,37637,8555,5001,14394,6361,9822,8980,23554,9939,7035,7599
