date,봉화산,화랑대,태릉입구,석계,돌곶이,상월곡,월곡,고려대,안암,보문,창신,동묘앞,신당,약수,버티고개,한강진,이태원,녹사평,삼각지,효창공원앞,대흥,광흥창,상수,합정,망원,마포구청,월드컵경기장,디지털미디어시티,증산,새절,응암,역촌,불광,독바위,구산,응암
2019-03-22,23345,28074,14512,32510,20014,15493,31140,22891,38361,17587,8493,22046,22805,9668,5977,21231,43186,15201,17860,17244,23752,23438,28874,35652,35138,33466,12262,34457,24451,33312,42500,10258,12296,6916,16958,42500
2019-03-23,14324,17757,9796,22097,13041,9021,19786,15566,22519,11947,4950,19429,15472,6229,3842,21975,47586,15468,12876,11639,14354,13352,24226,30791,28350,21898,24917,17798,17494,20971,29978,7202,10633,5393,11659,29978
2019-03-24,11357,13570,8251,16551,10781,7630,13916,11210,17015,10085,3960,17533,10978,4437,2873,17769,34839,11555,8501,8169,9771,10912,17883,22501,22037,16116,11862,13422,13755,16673,22976,5818,8757,4588,8449,22976
2019-03-25,22843,28838,14655,31836,19663,15539,31480,24048,37000,16801,8706,20321,21171,8951,5756,15786,28288,11374,13204,17219,22801,22508,23497,30583,32020,32445,10750,33320,24027,32267,41338,10068,11082,6537,16385,41338
2019-03-26,23126,29647,15283,32694,19862,15964,32361,24656,38361,17534,8655,21083,21919,9381,5862,18970,29751,13197,15002,18110,24132,22897,26178,39133,33818,35046,83581,36570,24355,32992,42589,10294,11810,6778,16728,42589
2019-03-27,22794,29462,15141,32178,19878,16168,32141,24910,37159,17505,8884,20622,22195,9109,5493,19146,30116,12689,14304,17782,23713,23199,25082,31620,32813,33410,11721,33665,24297,32935,41672,10021,11703,6845,16495,41672
2019-03-28,23041,29188,15094,32927,19706,17292,32043,24645,38678,17558,8823,21461,21747,9264,5635,18223,31521,13369,14703,18435,23681,23345,25364,32557,33294,33342,11421,33897,24397,33072,42087,10117,11278,6877,16361,42087
2019-03-29,23121,28122,14627,32870,20187,15610,31046,23618,35991,17554,8316,21874,22205,9455,5937,20754,42473,15207,15352,17461,23961,23223,29315,34866,34764,33608,12641,33943,24039,33881,42421,10209,12564,7053,16771,42421
2019-03-30,14266,16653,9824,21646,13397,8722,18704,15749,25597,11979,4912,18969,16211,6029,3717,21635,44844,14389,12113,11048,14316,12947,23440,29520,27333,21861,18998,17650,17294,21273,29652,7078,10161,5114,11266,29652
2019-03-31,10575,12624,7534,16304,10516,7349,13916,10744,15487,9292,3892,16034,11219,4164,2691,13917,32279,10156,7167,7745,9314,10242,16833,22257,19914,16107,9971,12879,13284,16095,22845,5511,8314,4079,8365,22845
2019-04-01,22643,28723,14475,31725,19458,15492,31107,23995,35536,17009,8749,20518,20680,8987,5550,15935,27857,11397,12526,17391,23033,22383,23538,30174,31435,32056,11201,33554,23967,32340,41110,9868,11176,6770,16360,41110
2019-04-02,22841,28723,14893,32328,19519,15662,31800,24253,36747,17241,8787,20387,21965,9203,5653,18871,28745,12059,14420,17964,23545,22429,24698,31275,32291,33064,11653,33908,24492,32612,41804,9930,11306,6856,16518,41804
2019-04-03,22902,29141,14678,32147,20048,16082,32256,24910,36712,17291,8838,21241,22614,9190,5489,20028,30076,12659,14419,18557,23637,22994,25064,31532,33298,33241,11384,34105,24632,33083,42550,10032,13517,6830,16694,42550
2019-04-04,23203,29115,14804,32262,19899,16878,31804,24510,37156,17397,8863,20851,22307,9001,5592,18796,31827,12471,14519,17565,23905,22964,25304,32273,33155,32922,12292,33592,24256,33007,42119,9992,12082,6841,16584,42119
2019-04-05,22790,28186,14516,32572,19910,15199,30442,23233,35320,17786,8587,21566,22397,9379,5783,20519,41615,14386,14639,17685,23557,23017,28234,34603,34521,33056,11939,33732,24076,33585,43874,10129,12290,6795,16764,43874
2019-04-06,14198,17790,10317,21726,13758,9101,19573,15240,21894,11800,4890,19571,15732,6045,3708,20989,45257,13993,11954,11477,14274,13365,22975,28600,27711,21512,19230,18133,17901,23965,34199,7288,10499,5589,12036,34199
2019-04-07,11415,13353,8487,17193,10808,7968,15035,11569,16872,10407,4075,17288,11307,4584,2938,15769,34097,11253,8146,8609,10277,12230,16968,23350,21601,17054,11601,13864,15462,19541,28438,5875,9085,4774,9083,28438
2019-04-08,22981,28764,14751,32158,20087,15582,31315,24487,35571,16903,8965,20485,21072,8932,5767,15822,28400,11472,13157,17661,23331,22997,23775,30229,32005,32704,11664,33769,25092,33730,43143,9958,11506,6814,16752,43143
2019-04-09,23042,29332,14399,32367,19690,15792,31667,24864,35976,16941,8979,20706,22236,9229,5887,18046,26947,11155,13985,18468,24296,22655,25279,31354,31982,33633,11504,33340,24615,33690,42190,10171,11605,7148,16981,42190
2019-04-10,22847,28545,14621,31899,19946,15791,31409,24562,36668,17023,8660,19796,21933,8889,5648,19579,28918,11405,14278,17545,23531,22822,24530,31134,32140,32856,10215,33781,24410,33161,41941,9984,11337,6612,16321,41941
2019-04-11,23179,29300,14821,32238,20269,16847,31784,24515,36575,17682,8803,20939,22154,9166,5713,19257,30774,12546,14544,18212,24548,23870,25978,32326,33817,33427,12088,34053,25291,33826,43098,10057,11454,6895,16581,43098
2019-04-12,23033,27933,14576,32329,20207,15384,30669,23530,35905,17843,8771,21711,22436,9424,5825,22646,41722,14201,14307,17222,23693,23423,27750,34385,34635,33550,13212,33123,25321,33942,43493,9978,12246,6668,16655,43493
2019-04-13,15144,20304,11090,23299,14926,9409,20134,16613,22788,12307,5242,23302,14577,6545,4266,23326,50085,15891,13069,12133,16056,14218,24962,30219,30174,23577,20312,21624,19735,24910,34201,7788,10724,5630,12524,34201
2019-04-14,10074,11826,6944,15333,10275,7299,12823,10761,14190,8989,3724,13006,11041,3982,2596,14466,30116,9103,7431,7618,9080,10354,15694,20202,19471,15724,7586,13171,12953,15868,21671,5468,7694,3474,8053,21671
2019-04-15,22903,28467,14432,31243,19849,15353,31279,24292,33895,16545,8667,20406,21169,9388,5523,16259,28411,11673,13204,17611,23166,22667,23232,30200,32486,32245,11723,33368,24569,32949,41573,9886,10493,6654,16176,41573
2019-04-16,23275,28740,14829,32333,19938,15539,31554,24421,35812,16728,8757,21166,21914,9508,5819,19295,28949,12420,14581,17613,23686,22290,24092,31216,32573,33075,12206,34002,24750,33485,42150,9972,11291,6797,16468,42150
2019-04-17,23218,28552,14927,32106,20232,15888,31987,25027,34895,16912,8921,21346,21849,9118,5898,21245,30643,12632,14748,18221,23635,22646,24122,31354,33002,33572,12141,33793,24685,33605,42315,10172,11962,6864,16547,42315
2019-04-18,22954,28838,14661,32097,19570,16460,30660,24540,34334,17601,8810,20370,21833,9138,5627,18824,29747,12184,14330,17638,23229,23059,24417,31537,32326,33159,10981,33507,24184,32485,41240,9904,11103,6733,16170,41240
2019-04-19,22769,27593,14522,31944,20034,15313,30486,22360,31644,17628,8521,21621,21875,9484,5787,22397,42116,14548,15259,16903,20998,23072,26511,34072,34490,33306,12706,33388,23817,33460,42308,10205,11637,6749,16630,42308
2019-04-20,15212,19674,10923,23309,14075,9284,19496,16127,23059,12263,5351,22335,15080,6351,3920,22675,47197,15447,13698,11607,14618,13274,24024,29033,29200,22557,14311,19056,18250,22450,30553,7678,10423,5436,11649,30553
2019-04-21,10785,12352,7766,16500,10703,7653,14196,10937,17421,9513,3768,16333,11203,4243,2725,15530,30307,10289,7443,8084,10174,10673,16326,22290,20240,16196,19449,13251,13412,16745,23121,5591,7740,4317,8497,23121
2019-04-22,22579,26665,14370,31637,19740,15209,30844,22831,31901,16349,8869,20616,20406,9058,5538,16820,27912,11582,12812,16805,22061,22025,22317,29611,31447,32289,11454,33565,24138,32927,41123,9921,11025,6597,16115,41123
2019-04-23,22989,26896,14680,31934,19483,15211,30317,22781,32061,16859,8534,20390,21283,9266,5683,18790,27338,11973,15262,17650,22474,22357,23246,30620,32175,32469,13108,33842,24152,32702,41599,9705,11096,6704,16044,41599
2019-04-24,23789,26975,14671,31644,19560,15573,30917,22653,31168,16672,8506,20331,21125,8926,5487,22023,29060,12139,14527,17201,22831,22772,23092,30832,32782,33041,14959,33774,24664,33274,41747,10095,12445,6632,16387,41747
2019-04-25,22651,27071,14284,31389,19831,16146,30293,22848,32537,17100,8640,20346,21736,9294,5568,19040,29795,11667,14455,17515,23272,23160,24761,31447,32350,32813,14753,33077,24024,32898,41233,10142,11846,7039,16180,41233
2019-04-26,23004,27575,14558,32132,19808,15507,30543,21892,33195,17199,8416,21697,21813,9410,5678,20865,41429,13671,15358,17222,22565,22961,28241,34553,34410,33075,14254,34017,24473,33486,42414,10146,12549,6724,16614,42414
2019-04-27,15438,18427,11438,24192,14367,9727,20076,17666,21914,13169,5581,23056,15155,6687,4030,22914,51051,17053,13649,13111,14359,13667,25345,31271,29686,24511,22258,21818,19642,24076,32782,7418,11337,5753,12009,32782
