date,부평구청,굴포천,삼산체육관,상동,부천시청,신중동,춘의,부천종합운동장,까치울,온수,천왕,광명사거리,철산,가산디지털단지,남구로,대림,신풍,보라매,신대방삼거리,장승배기,상도,숭실대입구,남성,내방,고속터미널,반포,논현,학동,강남구청,청담,뚝섬유원지,건대입구,어린이대공원,군자,중곡,용마산,사가정,면목,상봉,중화,먹골,태릉입구,공릉,하계,중계,노원,마들,수락산,도봉산,장암
2019-02-12,24502,21553,11039,33297,28828,34118,21744,9921,16043,23643,19882,57994,54910,105498,38609,21327,24610,23209,38122,24933,23987,29189,26236,34257,39694,14315,48625,55225,38371,51499,16215,34376,25081,29761,22851,13945,35752,34621,38131,26164,23881,17926,28632,43028,34319,49462,26639,29339,21557,3549
2019-02-13,24896,21796,10921,33457,30079,34256,21605,9889,16152,23973,20347,58388,54840,105171,38883,21856,25080,22501,38363,25064,23620,29823,26867,34565,41190,14918,48868,55644,38550,51897,15418,35264,25291,30106,22905,14173,35968,34746,37876,25883,23930,18115,28357,42495,35687,49896,26822,29480,21990,3396
2019-02-14,24965,22128,12197,34076,30037,34669,21693,10299,15949,24318,20381,58932,55173,104254,38462,21721,24837,22739,38635,25109,24255,30507,26370,34241,42558,14677,48703,56106,38182,51882,16163,35823,26290,30173,22478,13818,36340,36486,39048,25905,24047,18072,28482,42561,34274,49954,26838,29559,21822,3422
2019-02-15,26035,23869,12628,37856,32296,38577,23164,11523,17417,24638,20968,60618,59182,108119,39615,22572,25766,23865,39818,25728,24984,38203,26832,35262,46991,14966,51453,56611,39087,52492,15774,37970,27807,30839,22363,13736,36722,34866,39811,26586,25101,19689,28851,43421,33893,52925,27826,30648,21567,3581
2019-02-16,17000,16709,9158,30755,23868,25366,12554,7429,12002,14371,14766,47267,43717,38687,22506,21970,19861,14326,26910,18637,18086,21606,19236,18699,44728,11004,29642,31366,26466,35183,13008,43562,37244,23109,16025,10154,30228,26658,32518,19320,21062,14401,21632,32998,23255,41304,19931,24556,17619,2692
2019-02-17,11720,11687,6266,19228,16704,16960,8703,5410,8915,10818,9863,35430,29711,27947,19127,22810,15515,10401,19571,13934,13062,15534,13568,11867,32219,7680,16371,15993,14657,19200,11866,24650,20869,17061,12449,9115,21826,19673,23524,14532,13515,10900,16214,24641,18977,28662,13161,19310,14627,2144
2019-02-18,24432,21469,10894,32432,28492,33994,21469,9982,15690,22964,19790,58107,54503,105338,39769,22501,24975,21839,37765,24717,24310,31063,25775,34450,43066,14088,48925,54990,37088,51192,15508,33622,26947,29472,21970,13550,35809,34735,37364,25429,23913,17891,27978,42193,33882,48906,26496,28995,21171,3500
2019-02-19,25056,22068,11579,34318,29077,34549,22384,10183,16049,23308,19918,57056,55132,107504,39952,22334,24357,22292,37650,24702,24882,30091,25660,34751,40920,14392,48937,56522,37631,52542,16120,34363,27029,29281,21883,13404,35503,34294,37456,25613,24073,18600,28347,42962,34060,48612,26550,29089,20970,3408
2019-02-20,25032,21741,12603,34079,30930,34868,21814,10274,16279,23350,19978,58672,55545,104633,39170,21126,25356,22072,38220,24991,24642,30206,25975,34438,41189,14607,49414,56555,38366,51427,15352,35200,28367,30447,23098,13458,36493,34471,38721,26056,24170,18355,28692,42857,35510,48787,26709,29881,21673,3328
2019-02-21,25121,22078,11299,33896,29218,34802,21778,10356,16368,23897,19783,58448,55375,104396,38688,21263,25057,21900,38127,25220,25228,31972,26524,34578,42608,14567,48759,56663,38668,51436,16176,36040,27627,30378,22614,13960,36923,36040,38966,25834,23930,18159,27715,42548,33927,49639,26985,29833,21763,3522
2019-02-22,25175,21886,11574,35381,30611,35824,21752,10382,16649,23101,20354,60197,58517,105415,38863,21565,25943,22755,38993,25396,25045,30880,26791,35147,47499,15321,51257,56554,39138,51663,16149,41435,35114,31469,22485,14034,37368,35100,41256,26511,24528,18999,31463,42915,33336,53624,27796,30318,22378,3619
2019-02-23,16872,16557,9253,32842,23568,25494,12656,7736,12832,14786,14287,47916,44647,39906,23248,21596,20161,15433,27962,18735,18211,23944,18825,19746,46069,11832,30182,31207,26985,32517,16417,34947,25436,23277,18012,10911,30097,27407,33983,20460,21389,14381,22892,34693,23835,42110,20207,25572,18532,2907
2019-02-24,12039,11400,6374,20666,16537,17752,8957,5598,9351,10898,10184,36059,30272,29969,20008,22116,15713,11188,20655,13742,14915,16879,13899,12577,34074,7691,17244,17390,14988,19390,13726,24789,20859,17517,12797,8382,21967,20382,23902,15312,14109,11660,17222,25697,19260,31032,13605,22231,15857,2459
2019-02-25,24549,21659,10803,32844,28477,33652,21651,9893,15585,22855,19850,57921,54736,104795,39610,21896,24992,21849,38173,25111,25291,30479,26133,34432,42245,14337,49120,55135,36673,50332,15847,34556,27706,30196,22086,13587,35830,34510,38163,25896,23730,19058,27523,41789,33274,50421,26761,29806,21242,3471
2019-02-26,25005,21605,13635,34258,28942,34514,21622,10179,16341,23136,20310,58841,56169,105091,39309,21928,25402,21916,38371,25726,26061,29747,25818,34643,43561,14735,49867,55911,38620,52120,17637,35563,31900,30457,22087,13957,36815,34584,38840,26129,24303,19044,27812,43954,33929,50756,26945,30085,21860,3630
2019-02-27,24847,21908,11231,34475,29160,34586,21884,10302,16584,22947,20092,59195,56444,105189,39384,22469,25486,22258,38617,24814,24873,31680,26087,34895,43002,14995,49455,55805,38810,51992,17005,35514,30012,30424,22902,13926,36554,34780,38894,26363,24190,19673,27588,43634,35378,50837,26987,30139,21783,3571
2019-02-28,25014,22439,11162,35580,29760,35628,21778,10292,16669,23087,20247,59669,57362,103772,38941,22608,25400,22361,38433,25488,25461,31251,26362,34678,47179,14621,50182,55643,38921,50561,17556,36072,30631,30713,22396,13818,37285,34827,40319,26332,24356,19373,28841,43284,34123,52773,27585,30272,21791,3662
2019-03-01,13315,13930,7560,23446,19892,19777,10193,7055,10434,11814,11548,41019,36341,36087,20306,18558,16342,11488,22205,14802,15093,18793,15943,14770,37078,9031,21614,18574,18572,23038,14063,29818,21151,19153,13716,9357,25001,22581,27633,16418,15524,12095,18716,27531,19766,33778,16569,21350,15531,2454
2019-03-02,14614,14922,8770,26404,20815,21926,10925,7754,10990,12804,12577,43417,37798,36155,21629,21424,17530,12965,24365,16600,16652,21030,17298,16665,39174,10172,25414,21020,22197,25267,14289,32106,23789,20306,14426,9560,26779,24216,30059,17586,18280,13433,19811,29177,21280,37787,17716,22513,16512,2361
2019-03-03,11343,11587,6119,19674,15705,16309,8479,5333,9129,10817,9900,34551,28144,28827,19721,23929,16077,10945,19269,13383,14249,16644,13800,11800,33156,7634,15948,13110,13286,16238,12463,24887,18070,16286,12076,7953,21541,19497,23298,14456,13192,11085,17382,24851,18567,29194,12600,21045,14722,2328
2019-03-04,25335,21400,11257,32140,28343,32595,21695,10358,16741,27564,20775,58730,55633,102410,40102,22359,25926,23219,38628,25220,29125,44377,27476,34650,39800,14723,47634,53340,36007,49461,16058,37025,40758,29530,23061,14159,37481,39198,37766,26420,24011,21345,32050,44681,36056,49117,27447,30262,23469,3476
2019-03-05,25597,21755,11906,32828,28359,34436,22038,10260,16918,27603,20412,59025,56107,102888,40772,21962,25738,23142,39228,25221,29429,43668,27837,34288,36803,14551,47528,55276,37466,50856,15517,37507,41791,29676,23142,14165,37274,39598,38184,26740,23829,21662,31471,45060,35640,49075,27288,30314,23634,3646
2019-03-06,25739,21896,11508,33357,29085,34419,21669,10283,16963,27904,21015,59526,56528,102300,40056,22188,26360,23494,39403,25186,29725,43565,27179,34525,37369,14748,48210,55655,37988,51510,15464,38583,41472,30074,23310,14283,36693,38867,38628,26690,23991,22036,31882,45137,37824,49118,27672,30145,23579,3437
2019-03-07,25846,22069,11668,33650,29482,34793,21893,10923,17237,28081,21020,60508,57365,103516,40087,22862,26156,23423,39909,25498,29794,43363,28432,35474,39662,14823,48590,55913,38426,51914,17175,40188,42183,30805,23676,14359,37658,38496,39366,26924,24444,22042,32138,45832,37046,50082,28466,30792,24567,3665
2019-03-08,26381,22587,11936,35779,31077,36525,22255,11099,17269,27576,21581,62318,59757,106330,40615,24508,27117,23684,40507,26372,28972,42030,28680,35831,46714,15521,51172,56854,39147,52417,17860,40159,35968,31771,23875,14642,38513,37717,41135,27360,24924,20732,33288,45373,36559,53188,28352,31231,24571,3593
2019-03-09,17282,16989,9788,32686,25229,25717,12655,7804,12997,15059,14323,49465,44668,41935,24142,23297,20513,16550,27486,18851,19812,25563,19546,20263,41275,11110,30082,27413,26422,31479,17583,37508,29839,23535,16782,11113,30484,27388,34401,19713,20568,15297,23496,34542,24203,43278,20231,26798,19796,3371
2019-03-10,11762,11778,5891,19644,16211,16769,8585,6350,9019,11118,10055,35952,28818,30402,21087,25936,15786,10347,20084,13935,14112,17173,13938,12673,31523,7226,16636,15814,15078,19244,13271,24840,21368,17540,12535,8167,21768,20110,23049,14752,13838,11508,17258,24547,18400,28985,12805,21736,14575,2436
2019-03-11,25750,21949,11584,32764,28743,34109,21693,10609,17107,27866,20878,59724,56228,104658,40323,22821,26352,23268,39621,25597,29360,44402,27897,35412,38443,14579,48262,54625,36582,51381,15712,37767,40815,30626,22856,14354,37463,39522,38473,26737,24036,21815,31468,44818,36693,49010,27468,30311,24021,3699
2019-03-12,26136,21728,11574,33209,28854,34589,21796,10651,17078,27749,20836,59367,56887,104129,40137,22065,26142,23155,39526,25307,29613,43739,27776,35212,37878,14859,48063,56097,37940,51210,15379,38731,42731,30985,23185,14178,37121,39920,38292,26643,23884,21621,31647,46016,35284,48602,27524,29850,23914,3627
2019-03-13,25872,22005,11660,33400,28998,34806,21864,10843,17190,27844,20829,59757,56933,103041,39919,21929,26425,23214,39955,25627,29347,43677,27399,34981,37454,15491,48413,56497,38539,51837,15799,38306,41793,31285,23875,14425,37780,39189,38910,26923,24025,22068,32302,45069,37380,48812,27996,30253,24683,3578
2019-03-14,25842,21950,12315,33454,29396,34716,21882,10740,17508,27691,21030,59943,57226,102671,39440,22132,25774,23188,39745,25839,29979,42123,27932,35134,39279,15059,47986,56085,38233,51801,16852,38922,41952,31261,23512,14570,37249,40070,39012,26800,24108,25220,31821,42774,35350,48369,26986,32076,19843,3159
2019-03-15,25576,22139,11640,35285,30142,35916,21863,10784,16930,27235,21408,60963,59069,103694,39699,22826,26734,23643,40320,26028,29509,40495,27942,35060,44948,15558,50091,57171,38854,52262,16862,40146,37216,30958,23699,14798,37900,38883,40053,27230,24567,21001,32931,45037,36461,51746,28433,30852,23683,3621
2019-03-16,17380,17160,8956,33576,24066,25856,12713,7709,12646,15022,14262,48893,44316,39571,23845,22701,20087,15861,27760,18998,20025,24452,19410,19787,41569,11400,30635,28693,26585,31707,16190,36634,29053,23227,16901,11024,29819,27100,32926,19765,20072,15251,22566,33936,23177,41308,20219,25565,18434,2856
2019-03-17,12456,12009,6291,20623,16721,16978,8790,5606,9605,10994,10509,36617,30043,30183,20298,24355,16501,10292,20219,13925,14631,17408,14370,12828,32090,8069,16958,15242,15069,18956,16821,27069,25070,19531,13544,8788,23090,21038,24747,15021,13404,12232,18202,25634,19287,29792,13293,22892,17211,2556
2019-03-18,24825,21423,11417,32016,26713,34461,21570,10517,17128,25545,21209,60094,55422,103058,40530,22832,26047,23230,39301,25139,29196,43626,27760,35491,38931,15313,48114,54654,36360,51204,16488,37368,40978,29694,23348,14456,37101,39231,37873,26284,23764,22070,31471,44769,36558,48385,27280,30534,24016,3722
2019-03-19,25813,22070,12184,33860,28898,35080,21936,10953,17572,28002,21677,60285,57177,102854,40242,22096,26421,23748,40009,26387,29889,43656,27982,35512,38550,15092,48776,56244,38263,52290,19083,37549,41813,30331,23415,14540,37521,40581,38533,26987,24093,22076,31986,46158,36730,48069,27797,30892,24509,3651
2019-03-20,25374,21890,11703,33125,28458,34433,21837,10430,16894,27491,21102,59058,55793,102426,40434,22021,26785,23027,39480,25145,29562,42990,27347,34876,37593,15166,47842,56546,37481,51252,15315,37367,41614,30576,23608,14585,36640,39245,37603,26438,23729,21633,31545,44175,38077,46952,27539,30367,24170,3543
2019-03-21,26025,22065,11575,33888,29172,34636,22613,10746,17191,27712,21239,59672,56940,102514,39422,21675,26067,23316,39631,25419,29857,42122,27821,35490,38558,15192,47983,56635,38018,51278,16698,39167,41776,30466,22926,14354,36830,39454,38609,26514,23949,22062,31852,44799,36509,48864,28039,30640,24187,3587
2019-03-22,26189,22845,11870,34949,30462,35874,22200,10769,17241,27300,21718,61906,59492,103440,40270,22956,27108,23261,39853,25972,29877,40956,27670,35549,46001,15634,50354,56707,38808,51829,17358,39422,37500,31153,23442,14720,38411,38803,40843,27201,25109,20996,32862,44978,36612,52916,28564,31164,24379,3655
2019-03-23,16313,16186,8715,29871,23162,24265,11960,7343,11815,14217,13651,46650,42574,36706,23257,22604,19745,15118,26540,18779,19593,24700,18935,19624,40880,11353,28013,27526,25758,31075,13330,37010,26485,22239,15907,10678,28359,25999,32729,18835,19428,14723,22576,32424,23004,40687,19387,25173,17654,2906
2019-03-24,11612,11475,6191,18880,15798,17312,8629,6007,9469,11549,10319,36009,29452,28325,20018,24150,16443,10190,20106,13428,14843,17793,14196,12728,32686,7298,17050,15690,14044,18399,16129,24398,23021,17367,12749,8192,21678,20087,23340,15452,13514,12024,17862,25233,19448,29172,13155,22356,17219,2617
2019-03-25,25538,21708,11520,32144,28548,34230,21660,10411,17202,27637,21180,60004,55515,103040,40349,22170,26002,23490,39449,25305,29185,43113,27275,34877,39017,14853,47612,55690,36375,50219,16082,36523,39806,29847,23084,14259,37123,39647,37528,26369,23696,21504,31590,44411,36101,48630,27460,30024,24277,3641
